epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0139,2.07515,3.50362,1.66734,0.27071,0.02406,0.02738,0.01134,2.22269,3.37115,1.91497,0.00055011,0.00055011,0.00055011
2,53.9021,2.14242,3.04082,1.72344,0.13339,0.16408,0.06486,0.02609,2.39552,3.53813,2.06641,0.00109483,0.00109483,0.00109483
3,76.5254,2.17343,2.97534,1.80475,0.13063,0.15014,0.06305,0.02498,2.42822,4.18938,2.09499,0.00162855,0.00162855,0.00162855
4,99.0487,2.21381,2.84645,1.77659,0.11727,0.13334,0.04674,0.01797,2.35068,3.11435,2.03428,0.00161749,0.00161749,0.00161749
5,121.114,2.17111,2.76009,1.75983,0.17205,0.16638,0.09193,0.03527,2.3106,2.98497,2.09375,0.00160099,0.00160099,0.00160099
6,143.515,2.17876,2.78426,1.76273,0.18381,0.16227,0.08923,0.03279,2.34676,2.91652,2.01722,0.00158448,0.00158448,0.00158448
7,166.048,2.10927,2.63206,1.72965,0.1968,0.20228,0.09962,0.0409,2.25743,2.81796,1.943,0.00156798,0.00156798,0.00156798
8,187.747,2.09857,2.63596,1.71101,0.18088,0.17304,0.08814,0.03433,2.34011,3.06348,1.94627,0.00155148,0.00155148,0.00155148
9,209.773,2.07908,2.60223,1.70372,0.17887,0.19681,0.10292,0.04344,2.28331,2.84402,1.93488,0.00153497,0.00153497,0.00153497
10,232.709,2.08393,2.57907,1.71286,0.19559,0.18464,0.10065,0.0436,2.23791,2.84586,1.95949,0.00151847,0.00151847,0.00151847
11,255.437,2.07727,2.52951,1.67081,0.14772,0.16699,0.08042,0.03224,2.22286,2.96934,1.98536,0.00150197,0.00150197,0.00150197
12,279.068,2.06427,2.51856,1.65568,0.19509,0.1911,0.11607,0.05125,2.2355,2.78785,1.91579,0.00148546,0.00148546,0.00148546
13,301.734,2.06739,2.50242,1.67444,0.2086,0.18485,0.10524,0.04235,2.26427,2.77605,1.90434,0.00146896,0.00146896,0.00146896
14,324.238,2.03396,2.44407,1.65506,0.25622,0.19608,0.13204,0.05852,2.15237,2.78192,1.82575,0.00145246,0.00145246,0.00145246
15,346.702,2.01573,2.44203,1.64236,0.20283,0.19656,0.11143,0.0484,2.22534,2.85226,1.8906,0.00143595,0.00143595,0.00143595
16,369.369,2.01234,2.38659,1.64666,0.20408,0.20118,0.11529,0.0511,2.21533,2.78397,1.86747,0.00141945,0.00141945,0.00141945
17,391.748,2.01382,2.41602,1.64339,0.21026,0.18069,0.11169,0.04858,2.22457,2.7909,1.94439,0.00140295,0.00140295,0.00140295
18,413.564,1.97174,2.35616,1.6414,0.17356,0.20724,0.10852,0.04703,2.20257,2.77955,1.91518,0.00138644,0.00138644,0.00138644
19,435.526,1.97945,2.37733,1.62942,0.21337,0.19336,0.11406,0.05111,2.21018,2.7148,1.86796,0.00136994,0.00136994,0.00136994
20,457.32,1.95487,2.31708,1.59849,0.20854,0.19846,0.1184,0.05269,2.16981,2.67518,1.83909,0.00135344,0.00135344,0.00135344
21,479.547,1.98732,2.24638,1.59896,0.2403,0.16765,0.11417,0.05162,2.19171,2.83281,1.86026,0.00133693,0.00133693,0.00133693
22,501.634,1.96424,2.31078,1.58957,0.21261,0.2244,0.12543,0.05429,2.16866,2.65199,1.86969,0.00132043,0.00132043,0.00132043
23,523.779,1.97936,2.27482,1.59462,0.22689,0.19387,0.12291,0.05349,2.18415,2.83852,1.86928,0.00130393,0.00130393,0.00130393
24,545.662,1.95173,2.24437,1.58344,0.21714,0.20034,0.13144,0.06247,2.15779,2.68776,1.83143,0.00128742,0.00128742,0.00128742
25,568.037,1.93919,2.20589,1.58832,0.17588,0.20542,0.11583,0.05011,2.22411,2.86019,1.85824,0.00127092,0.00127092,0.00127092
26,589.819,1.95391,2.19787,1.57554,0.22579,0.19475,0.11239,0.04723,2.20911,2.83837,1.85331,0.00125442,0.00125442,0.00125442
27,612.092,1.91126,2.18833,1.58134,0.22303,0.2017,0.13305,0.05889,2.18385,2.65824,1.86122,0.00123791,0.00123791,0.00123791
28,633.808,1.90798,2.1589,1.53863,0.21772,0.21153,0.12251,0.05556,2.17506,2.67094,1.81224,0.00122141,0.00122141,0.00122141
29,656.019,1.92221,2.12842,1.56228,0.21324,0.23585,0.12374,0.05552,2.15826,2.68909,1.83274,0.00120491,0.00120491,0.00120491
30,678.121,1.90587,2.14925,1.54781,0.21783,0.20159,0.12579,0.05793,2.15673,2.73772,1.85674,0.0011884,0.0011884,0.0011884
31,700.261,1.86256,2.11244,1.5231,0.24037,0.21731,0.13851,0.06134,2.17827,2.67874,1.83593,0.0011719,0.0011719,0.0011719
32,722.835,1.8944,2.06684,1.53109,0.23013,0.21451,0.13134,0.06042,2.16882,2.68543,1.83715,0.0011554,0.0011554,0.0011554
33,745.581,1.85906,2.04171,1.52325,0.19707,0.21897,0.11073,0.04616,2.21761,2.81272,1.8722,0.00113889,0.00113889,0.00113889
34,768.297,1.87408,2.06723,1.52396,0.25887,0.19863,0.13333,0.06071,2.16355,2.67159,1.79918,0.00112239,0.00112239,0.00112239
35,790.586,1.86617,2.03641,1.51289,0.23898,0.21353,0.1464,0.06689,2.16185,2.71384,1.82903,0.00110589,0.00110589,0.00110589
36,813.004,1.84782,2.03565,1.51267,0.23988,0.20193,0.12699,0.05881,2.17806,2.69169,1.82688,0.00108938,0.00108938,0.00108938
37,834.721,1.87979,2.05289,1.52856,0.22334,0.21836,0.13137,0.05746,2.20333,2.70718,1.86497,0.00107288,0.00107288,0.00107288
38,856.413,1.8421,1.99215,1.49893,0.2375,0.21903,0.13582,0.06026,2.17535,2.71135,1.84549,0.00105638,0.00105638,0.00105638
39,878.602,1.8416,2.00164,1.5174,0.23709,0.20027,0.12915,0.05692,2.18231,2.72504,1.8425,0.00103987,0.00103987,0.00103987
40,900.634,1.82327,1.99061,1.49931,0.2527,0.18567,0.12243,0.05594,2.19809,2.86217,1.85574,0.00102337,0.00102337,0.00102337
41,922.542,1.8185,1.96793,1.49573,0.2321,0.21792,0.13089,0.05977,2.16006,2.74157,1.82019,0.00100687,0.00100687,0.00100687
42,944.785,1.83571,1.94879,1.49596,0.22962,0.21575,0.13533,0.06405,2.17706,2.6903,1.84459,0.000990365,0.000990365,0.000990365
