epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.472,1.83884,3.44218,1.5846,0.24559,0.24548,0.14433,0.06383,1.99962,3.07273,1.73628,0.00332973,0.00332973,0.00332973
2,476.527,1.86544,2.71457,1.64171,0.25264,0.21827,0.14156,0.063,2.06425,2.62972,1.83745,0.0065971,0.0065971,0.0065971
3,664.611,2.00084,2.67206,1.76569,0.22732,0.18888,0.11187,0.04852,2.17119,2.79126,1.96901,0.00979847,0.00979847,0.00979847
4,824.837,2.03781,2.68223,1.8214,0.24689,0.20792,0.1326,0.05623,2.11993,2.64971,1.99553,0.009703,0.009703,0.009703
5,992.851,1.98447,2.56927,1.79161,0.26425,0.1931,0.13499,0.06239,2.05876,2.6021,1.86558,0.009604,0.009604,0.009604
6,1156,1.93682,2.5151,1.7585,0.24066,0.22152,0.13045,0.05602,2.05301,2.60566,1.89567,0.009505,0.009505,0.009505
7,1315.4,1.9369,2.47667,1.74957,0.29412,0.23635,0.17007,0.07822,2.00158,2.45227,1.82432,0.009406,0.009406,0.009406
8,1478.86,1.91292,2.43058,1.73353,0.27163,0.24975,0.16703,0.08052,1.97536,2.44657,1.83175,0.009307,0.009307,0.009307
9,1656.08,1.88836,2.40421,1.73385,0.292,0.26315,0.18433,0.08599,1.98761,2.38174,1.83816,0.009208,0.009208,0.009208
10,1824.58,1.86194,2.35844,1.69561,0.28687,0.25353,0.1746,0.08313,1.95304,2.37068,1.79658,0.009109,0.009109,0.009109
11,1984.91,1.84596,2.34486,1.69331,0.28758,0.27127,0.18671,0.08771,1.96846,2.36671,1.78247,0.00901,0.00901,0.00901
12,2147.33,1.85051,2.32929,1.68839,0.31302,0.27496,0.19485,0.08959,1.9604,2.33777,1.79989,0.008911,0.008911,0.008911
13,2308.38,1.83577,2.30632,1.68604,0.30906,0.27086,0.19562,0.09256,1.92317,2.33453,1.78928,0.008812,0.008812,0.008812
14,2469.92,1.82368,2.28709,1.66186,0.31364,0.27208,0.1988,0.09545,1.93055,2.28548,1.77833,0.008713,0.008713,0.008713
15,2630.6,1.81676,2.26314,1.66737,0.32042,0.27147,0.20684,0.09956,1.9333,2.25808,1.74845,0.008614,0.008614,0.008614
16,2792.93,1.80983,2.26807,1.66137,0.32578,0.26985,0.20787,0.09961,1.91008,2.27341,1.75123,0.008515,0.008515,0.008515
17,2955,1.807,2.25182,1.66075,0.33153,0.27249,0.21134,0.10198,1.89535,2.24254,1.74053,0.008416,0.008416,0.008416
18,3113.54,1.8053,2.23652,1.64943,0.32823,0.28473,0.21167,0.10369,1.90138,2.20913,1.73943,0.008317,0.008317,0.008317
19,3273.6,1.79126,2.20947,1.63273,0.32912,0.27961,0.20698,0.0985,1.89726,2.2339,1.73924,0.008218,0.008218,0.008218
20,3440.52,1.77164,2.19227,1.62843,0.32116,0.29933,0.21692,0.10188,1.89285,2.18972,1.72637,0.008119,0.008119,0.008119
21,3605.08,1.79093,2.20663,1.63586,0.32949,0.28792,0.21768,0.10746,1.86264,2.17676,1.69864,0.00802,0.00802,0.00802
22,3780.12,1.77384,2.1837,1.63443,0.33937,0.28903,0.22528,0.10882,1.88508,2.17959,1.69964,0.007921,0.007921,0.007921
23,3956.92,1.76862,2.16617,1.61961,0.32902,0.29015,0.22405,0.10852,1.89066,2.15253,1.716,0.007822,0.007822,0.007822
24,4125.8,1.77169,2.16919,1.628,0.33616,0.30132,0.22588,0.1104,1.85778,2.14371,1.69636,0.007723,0.007723,0.007723
25,4294.74,1.76221,2.17021,1.62939,0.33097,0.30173,0.22877,0.11194,1.87304,2.15046,1.71412,0.007624,0.007624,0.007624
26,4462.62,1.73873,2.13847,1.60908,0.33304,0.30234,0.22807,0.11349,1.86747,2.1395,1.68936,0.007525,0.007525,0.007525
