epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.544,3.65951,4.28207,3.90405,0.09186,0.03814,0.01504,0.00427,3.01224,3.4226,3.18935,0.00332973,0.00332973,0.00332973
2,374.433,2.7701,3.42422,2.78114,0.14894,0.09951,0.0426,0.01468,2.59461,3.13093,2.54197,0.0065971,0.0065971,0.0065971
3,543.824,2.50688,3.16444,2.37819,0.12475,0.1266,0.04889,0.01689,2.52344,3.16407,2.35712,0.00979847,0.00979847,0.00979847
4,714.567,2.38526,3.03163,2.20549,0.19714,0.13077,0.07588,0.02916,2.39069,2.85911,2.21457,0.009703,0.009703,0.009703
5,884.409,2.28723,2.8973,2.10484,0.19476,0.15092,0.08506,0.03306,2.33365,2.80911,2.136,0.009604,0.009604,0.009604
6,1057.7,2.23781,2.81589,2.03306,0.22166,0.16477,0.09522,0.03762,2.30273,2.80867,2.08529,0.009505,0.009505,0.009505
7,1233.44,2.20545,2.77836,1.99929,0.23477,0.17624,0.10662,0.04339,2.26268,2.70879,2.03914,0.009406,0.009406,0.009406
8,1409.79,2.18259,2.72489,1.96182,0.2253,0.17987,0.10837,0.04422,2.2604,2.69913,2.02004,0.009307,0.009307,0.009307
9,1583.62,2.15635,2.69607,1.93191,0.23472,0.19279,0.11983,0.05049,2.22899,2.63341,1.99147,0.009208,0.009208,0.009208
10,1755.62,2.1381,2.66739,1.91031,0.23684,0.196,0.11857,0.04972,2.21051,2.61753,1.98616,0.009109,0.009109,0.009109
11,1927.55,2.12201,2.64801,1.89269,0.22849,0.20183,0.12351,0.05181,2.19866,2.62181,1.95579,0.00901,0.00901,0.00901
12,2103.48,2.11422,2.61976,1.88069,0.24981,0.19185,0.12803,0.05415,2.18647,2.59435,1.94218,0.008911,0.008911,0.008911
13,2282.17,2.10087,2.60708,1.87242,0.25339,0.20136,0.13147,0.05458,2.1877,2.56725,1.92818,0.008812,0.008812,0.008812
14,2456.18,2.09054,2.5842,1.85103,0.25623,0.20514,0.13356,0.05819,2.17218,2.54291,1.92957,0.008713,0.008713,0.008713
15,2628.87,2.08935,2.57198,1.84279,0.24963,0.20965,0.14028,0.06124,2.16725,2.52263,1.90534,0.008614,0.008614,0.008614
16,2800.78,2.07598,2.56773,1.83298,0.26034,0.21325,0.14137,0.06143,2.14986,2.50639,1.8846,0.008515,0.008515,0.008515
17,2972.02,2.0772,2.55067,1.82015,0.26427,0.21322,0.14886,0.06333,2.15287,2.49844,1.86356,0.008416,0.008416,0.008416
18,3146.5,2.07203,2.53461,1.81666,0.25927,0.21488,0.14814,0.06405,2.14328,2.49551,1.87962,0.008317,0.008317,0.008317
19,3321.08,2.06045,2.51786,1.81326,0.26848,0.2174,0.15154,0.06569,2.14193,2.47015,1.87024,0.008218,0.008218,0.008218
20,3493.96,2.05191,2.50139,1.80173,0.27228,0.22682,0.15606,0.06738,2.13225,2.44211,1.84909,0.008119,0.008119,0.008119
21,3666.22,2.04412,2.49366,1.79767,0.27175,0.22118,0.15305,0.06608,2.11643,2.44632,1.84861,0.00802,0.00802,0.00802
22,3840.35,2.04352,2.48402,1.78877,0.27211,0.22602,0.15591,0.06742,2.11507,2.45187,1.83974,0.007921,0.007921,0.007921
23,4014.11,2.03116,2.47179,1.78997,0.27446,0.22351,0.15542,0.0683,2.11473,2.42391,1.8434,0.007822,0.007822,0.007822
24,4188.33,2.03851,2.46121,1.77768,0.27547,0.22892,0.15884,0.06991,2.10965,2.42179,1.8192,0.007723,0.007723,0.007723
25,4358.44,2.0299,2.45909,1.77425,0.27651,0.23746,0.16458,0.07182,2.10642,2.40595,1.82374,0.007624,0.007624,0.007624
26,4533.38,2.01308,2.45147,1.77093,0.27536,0.2341,0.16393,0.0727,2.09631,2.39679,1.82477,0.007525,0.007525,0.007525
27,4707.97,2.01964,2.4231,1.76177,0.27811,0.24115,0.16716,0.07409,2.10061,2.38102,1.81287,0.007426,0.007426,0.007426
28,4880.01,2.01386,2.41712,1.75923,0.28714,0.23887,0.16822,0.07398,2.09578,2.37761,1.81609,0.007327,0.007327,0.007327
29,5053.11,2.00467,2.41967,1.76472,0.27513,0.23872,0.16632,0.07359,2.09238,2.38212,1.80697,0.007228,0.007228,0.007228
30,5224.78,2.00697,2.43542,1.76496,0.2846,0.23951,0.17008,0.0757,2.08449,2.3672,1.80491,0.007129,0.007129,0.007129
31,5397.08,1.99782,2.41467,1.75783,0.29139,0.24251,0.17227,0.077,2.08588,2.35732,1.79699,0.00703,0.00703,0.00703
32,5568.43,1.99065,2.41018,1.74528,0.2856,0.24357,0.17216,0.0767,2.08238,2.35419,1.80176,0.006931,0.006931,0.006931
33,5743.56,1.99819,2.40775,1.74132,0.28308,0.24305,0.17346,0.07735,2.07082,2.35207,1.78823,0.006832,0.006832,0.006832
34,5921.87,1.99314,2.38905,1.73665,0.2841,0.24457,0.17427,0.07791,2.06887,2.35008,1.78355,0.006733,0.006733,0.006733
35,6103.67,1.98823,2.3892,1.73335,0.29297,0.2455,0.17593,0.07926,2.06721,2.34017,1.78545,0.006634,0.006634,0.006634
36,6291.49,1.98651,2.38791,1.73187,0.28833,0.24654,0.17669,0.07963,2.06769,2.3371,1.77893,0.006535,0.006535,0.006535
37,6463.37,1.98086,2.37865,1.73205,0.29172,0.24821,0.17762,0.07923,2.06677,2.33507,1.78195,0.006436,0.006436,0.006436
